date,eri
1994-08-31,8.56
1994-09-01,8.56
1994-09-02,8.56
1994-09-05,8.55
1994-09-06,8.55
1994-09-07,8.55
1994-09-08,8.55
1994-09-09,8.54
1994-09-10,8.54
1994-09-13,8.54
1994-09-14,8.54
1994-09-15,8.54
1994-09-16,8.54
1994-09-17,8.54
1994-09-20,8.53
1994-09-21,8.53
1994-09-22,8.53
1994-09-23,8.53
1994-09-24,8.53
1994-09-27,8.53
1994-09-28,8.53
1994-09-29,8.53
1994-09-30,8.53
1994-10-01,8.53
1994-10-06,8.53
1994-10-07,8.53
1994-10-08,8.53
1994-10-11,8.53
1994-10-12,8.53
1994-10-13,8.53
1994-10-14,8.53
1994-10-15,8.53
1994-10-18,8.53
1994-10-19,8.53
1994-10-20,8.53
1994-10-21,8.53
1994-10-22,8.53
1994-10-25,8.53
1994-10-26,8.53
1994-10-27,8.53
1994-10-28,8.53
1994-10-29,8.53
1994-11-01,8.53
1994-11-02,8.53
1994-11-03,8.52
1994-11-04,8.52
1994-11-05,8.52
1994-11-08,8.52
1994-11-09,8.52
1994-11-10,8.52
1994-11-11,8.52
1994-11-12,8.52
1994-11-15,8.52
1994-11-16,8.52
1994-11-17,8.52
1994-11-18,8.51
1994-11-19,8.51
1994-11-22,8.51
1994-11-23,8.51
1994-11-24,8.51
1994-11-25,8.51
1994-11-26,8.51
1994-11-29,8.51
1994-11-30,8.51
1994-12-01,8.51
1994-12-02,8.51
1994-12-03,8.51
1994-12-06,8.51
1994-12-07,8.51
1994-12-08,8.5
1994-12-09,8.5
1994-12-10,8.5
1994-12-13,8.5
1994-12-14,8.49
1994-12-15,8.49
1994-12-16,8.49
1994-12-17,8.48
1994-12-20,8.48
1994-12-21,8.48
1994-12-22,8.47
1994-12-23,8.47
1994-12-24,8.46
1994-12-27,8.46
1994-12-28,8.46
1994-12-29,8.45
1994-12-30,8.45
1994-12-31,8.45
1995-01-04,8.44
1995-01-05,8.44
1995-01-06,8.44
1995-01-07,8.44
1995-01-10,8.44
1995-01-11,8.44
1995-01-12,8.44
1995-01-13,8.44
1995-01-14,8.44
1995-01-17,8.44
1995-01-18,8.44
1995-01-19,8.44
1995-01-20,8.44
1995-01-21,8.44
1995-01-24,8.44
1995-01-25,8.44
1995-01-26,8.44
1995-01-27,8.44
1995-02-06,8.44
1995-02-07,8.44
1995-02-08,8.44
1995-02-09,8.44
1995-02-10,8.44
1995-02-11,8.44
1995-02-14,8.44
1995-02-15,8.44
1995-02-16,8.44
1995-02-17,8.44
1995-02-18,8.43
1995-02-21,8.43
1995-02-22,8.43
1995-02-23,8.43
1995-02-24,8.43
1995-02-25,8.43
1995-02-28,8.43
1995-03-01,8.43
1995-03-02,8.43
1995-03-03,8.43
1995-03-04,8.43
1995-03-06,8.43
1995-03-07,8.43
1995-03-08,8.43
1995-03-09,8.43
1995-03-10,8.43
1995-03-11,8.43
1995-03-14,8.43
1995-03-15,8.43
1995-03-16,8.43
1995-03-17,8.43
1995-03-18,8.43
1995-03-21,8.43
1995-03-22,8.43
1995-03-23,8.43
1995-03-24,8.43
1995-03-25,8.43
1995-03-28,8.43
1995-03-29,8.43
1995-03-30,8.43
1995-03-31,8.43
1995-04-03,8.43
1995-04-04,8.43
1995-04-05,8.43
1995-04-06,8.43
1995-04-07,8.43
1995-04-08,8.43
1995-04-10,8.43
1995-04-11,8.43
1995-04-12,8.43
1995-04-13,8.42
1995-04-14,8.42
1995-04-17,8.42
1995-04-18,8.42
1995-04-19,8.42
1995-04-20,8.42
1995-04-21,8.42
1995-04-22,8.42
1995-04-24,8.42
1995-04-25,8.42
1995-04-26,8.42
1995-04-27,8.41
1995-04-28,8.41
1995-05-02,8.41
1995-05-03,8.4
1995-05-04,8.38
1995-05-05,8.36
1995-05-08,8.34
1995-05-09,8.33
1995-05-10,8.32
1995-05-11,8.31
1995-05-12,8.3
1995-05-15,8.28
1995-05-16,8.27
1995-05-17,8.28
1995-05-18,8.29
1995-05-19,8.29
1995-05-22,8.29
1995-05-23,8.29
1995-05-24,8.3
1995-05-25,8.3
1995-05-26,8.3
1995-05-29,8.31
1995-05-30,8.31
1995-05-31,8.31
1995-06-01,8.31
1995-06-02,8.3
1995-06-05,8.3
1995-06-06,8.3
1995-06-07,8.3
1995-06-08,8.3
1995-06-09,8.3
1995-06-12,8.3
1995-06-13,8.3
1995-06-14,8.3
1995-06-15,8.3
1995-06-16,8.3
1995-06-19,8.3
1995-06-20,8.3
1995-06-21,8.3
1995-06-22,8.3
1995-06-23,8.3
1995-06-26,8.3
1995-06-27,8.3
1995-06-28,8.3
1995-06-29,8.3
1995-06-30,8.3
1995-07-03,8.3
1995-07-04,8.3
1995-07-05,8.3
1995-07-06,8.3
1995-07-07,8.3
1995-07-10,8.3
1995-07-11,8.3
1995-07-12,8.3
1995-07-13,8.3
1995-07-14,8.3
1995-07-17,8.3
1995-07-18,8.3
1995-07-19,8.3
1995-07-20,8.3
1995-07-21,8.3
1995-07-24,8.3
1995-07-25,8.3
1995-07-26,8.3
1995-07-27,8.3
1995-07-28,8.3
1995-07-31,8.3
1995-08-01,8.3
1995-08-02,8.3
1995-08-03,8.3
1995-08-04,8.3
1995-08-07,8.3
1995-08-08,8.3
1995-08-09,8.3
1995-08-10,8.3
1995-08-11,8.3
1995-08-14,8.3
1995-08-15,8.3
1995-08-16,8.31
1995-08-17,8.31
1995-08-18,8.31
1995-08-21,8.31
1995-08-22,8.31
1995-08-23,8.31
1995-08-24,8.31
1995-08-25,8.31
1995-08-28,8.32
1995-08-29,8.32
1995-08-30,8.32
1995-08-31,8.32
1995-09-01,8.32
1995-09-04,8.32
1995-09-05,8.32
1995-09-06,8.32
1995-09-07,8.32
1995-09-08,8.32
1995-09-11,8.32
1995-09-12,8.32
1995-09-13,8.32
1995-09-14,8.32
1995-09-15,8.32
1995-09-18,8.32
1995-09-19,8.32
1995-09-20,8.32
1995-09-21,8.32
1995-09-22,8.32
1995-09-25,8.32
1995-09-26,8.32
1995-09-27,8.32
1995-09-28,8.32
1995-09-29,8.32
1995-10-04,8.32
1995-10-05,8.32
1995-10-06,8.32
1995-10-09,8.32
1995-10-10,8.32
1995-10-11,8.32
1995-10-12,8.32
1995-10-13,8.31
1995-10-16,8.31
1995-10-17,8.31
1995-10-18,8.31
1995-10-19,8.31
1995-10-20,8.31
1995-10-23,8.31
1995-10-24,8.31
1995-10-25,8.31
1995-10-26,8.31
1995-10-27,8.31
1995-10-30,8.31
1995-10-31,8.31
1995-11-01,8.31
1995-11-02,8.31
1995-11-03,8.31
1995-11-06,8.31
1995-11-07,8.31
1995-11-08,8.31
1995-11-09,8.31
1995-11-10,8.31
1995-11-13,8.31
1995-11-14,8.31
1995-11-15,8.31
1995-11-16,8.31
1995-11-17,8.31
1995-11-20,8.31
1995-11-21,8.31
1995-11-22,8.31
1995-11-23,8.31
1995-11-24,8.31
1995-11-27,8.31
1995-11-28,8.31
1995-11-29,8.31
1995-11-30,8.31
1995-12-01,8.31
1995-12-04,8.31
1995-12-05,8.31
1995-12-06,8.31
1995-12-07,8.31
1995-12-08,8.31
1995-12-11,8.31
1995-12-12,8.31
1995-12-13,8.31
1995-12-14,8.31
1995-12-15,8.32
1995-12-18,8.32
1995-12-19,8.32
1995-12-20,8.32
1995-12-21,8.32
1995-12-22,8.32
1995-12-25,8.32
1995-12-26,8.32
1995-12-27,8.32
1995-12-28,8.32
1995-12-29,8.32
1995-12-31,8.32
1996-01-01,8.32
1996-01-02,8.32
1996-01-03,8.32
1996-01-04,8.32
1996-01-05,8.32
1996-01-08,8.32
1996-01-09,8.32
1996-01-10,8.32
1996-01-11,8.32
1996-01-12,8.32
1996-01-15,8.32
1996-01-16,8.32
1996-01-17,8.32
1996-01-18,8.32
1996-01-19,8.32
1996-01-22,8.32
1996-01-23,8.32
1996-01-24,8.32
1996-01-25,8.32
1996-01-26,8.32
1996-01-29,8.32
1996-01-30,8.32
1996-01-31,8.31
1996-02-01,8.31
1996-02-02,8.33
1996-02-05,8.31
1996-02-06,8.31
1996-02-07,8.31
1996-02-08,8.31
1996-02-09,8.31
1996-02-12,8.31
1996-02-13,8.31
1996-02-14,8.31
1996-02-15,8.31
1996-02-16,8.31
1996-02-17,8.31
1996-02-18,8.31
1996-02-26,8.32
1996-02-27,8.32
1996-02-28,8.32
1996-02-29,8.32
1996-03-01,8.32
1996-03-04,8.32
