date,fai_source
1992-02-29,0
1992-03-31,0
1992-04-30,0
1992-05-31,0
1992-06-30,0
1992-07-31,0
1992-08-31,0
1992-09-30,0
1992-10-31,0
1992-11-30,0
1992-12-31,0
1993-02-28,0
1993-03-31,0
1993-04-30,0
1993-05-31,0
1993-06-30,0
1993-07-31,0
1993-08-31,0
1993-09-30,0
1993-10-31,0
1993-11-30,0
1993-12-31,0
1994-02-28,0
1994-03-31,0
1994-04-30,0
1994-05-31,0
1994-06-30,0
1994-07-31,0
1994-08-31,0
1994-09-30,0
1994-10-31,0
1994-11-30,0
1994-12-31,0
1995-02-28,0
1995-03-31,0
1995-04-30,0
1995-05-31,0
1995-06-30,0
1995-07-31,0
1995-08-31,0
1995-09-30,0
1995-10-31,0
1995-11-30,0
1995-12-31,0
1996-02-29,542.6
1996-03-31,1611.33
1996-04-30,2448.6
1996-05-31,3468.99
1996-06-30,5117.47
1996-07-31,6531.87
1996-08-31,7157.65
1996-09-30,8328.96
1996-10-31,9358.23
1996-11-30,10550.84
1996-12-31,16529.71
1997-02-28,660.48
1997-03-31,1815.5
1997-04-30,2741.43
1997-05-31,3958.38
1997-06-30,5631.56
1997-07-31,6679.13
1997-08-31,7897.45
1997-09-30,9155.74
1997-10-31,10522.66
1997-11-30,11919.74
1997-12-31,18063.54
1998-02-28,830.92
1998-03-31,1967.82
1998-04-30,3077.15
1998-05-31,4474.46
1998-06-30,6301.04
1998-07-31,7795.67
1998-08-31,9248.49
1998-09-30,10933.22
1998-10-31,12715.31
1998-11-30,14635.42
1998-12-31,20708.56
1999-02-28,998.8
1999-03-31,2348.06
1999-04-30,3677.84
1999-05-31,5136.84
1999-06-30,6943.13
1999-07-31,8457.67
1999-08-31,9850.71
1999-09-30,11472.73
1999-10-31,13136.05
1999-11-30,15130.19
1999-12-31,21261.4
2000-02-29,1289.95
2000-03-31,2759.47
2000-04-30,4156.05
2000-05-31,5710.65
2000-06-30,7875
2000-07-31,9582.8
2000-08-31,11284.2
2000-09-30,13344.07
2000-10-31,15284.66
2000-11-30,17505.62
2000-12-31,23781.86
2001-02-28,1554.45
2001-03-31,3467.75
2001-04-30,5272.01
2001-05-31,7239.69
2001-06-30,9936.03
2001-07-31,12125.18
2001-08-31,14039.31
2001-09-30,16378.34
2001-10-31,18631.77
2001-11-30,20927.47
2001-12-31,27912.05
2002-02-28,2025.33
2002-03-31,4351.51
2002-04-30,6687.96
2002-05-31,9170.14
2002-06-30,12467.03
2002-07-31,15322.51
2002-08-31,18132.32
2002-09-30,21089.93
2002-10-31,23966.15
2002-11-30,26914.24
2002-12-31,33998.04
2003-02-28,3210.4
2003-03-31,6419.72
2003-04-30,9665.23
2003-05-31,13443.37
2003-06-30,18410.73
2003-07-31,22230.01
2003-08-31,26025.42
2003-09-30,30136.2
2003-10-31,34015.71
2003-11-30,37903.87
2003-12-31,45801.79
2004-02-29,5908.13
2004-03-31,10625.78
2004-04-30,15217
2004-05-31,19991.91
2004-06-30,26413.2
2004-07-31,31614.01
2004-08-31,36637.12
2004-09-30,42342.55
2004-10-31,47567.71
2004-11-30,53043.48
2004-12-31,62757.52
2005-02-28,7287.24
2005-03-31,13033.75
2005-04-30,18892
2005-05-31,25082.45
2005-06-30,33593.59
2005-07-31,40503.81
2005-08-31,46848.82
2005-09-30,54065.92
2005-10-31,60867.39
2005-11-30,68059.63
2005-12-31,80912.33
2006-02-28,9398.3
2006-03-31,17543.81
2006-04-30,24720.54
2006-05-31,32564.37
2006-06-30,44127.49
2006-07-31,52837.37
2006-08-31,60400.46
2006-09-30,69446.05
2006-10-31,77691.17
2006-11-30,86591.62
