date,ib1y
2006-10-08,2.9543
2006-10-09,2.9549
2006-10-10,2.9531
2006-10-11,2.9559
2006-10-12,2.955
2006-10-13,2.9543
2006-10-16,2.9546
2006-10-17,2.955
2006-10-18,2.956
2006-10-19,2.9556
2006-10-20,2.9553
2006-10-23,2.9552
2006-10-24,2.9552
2006-10-25,2.9552
2006-10-26,2.9552
2006-10-27,2.9556
2006-10-30,2.9554
2006-10-31,2.9554
2006-11-01,2.9554
2006-11-02,2.9554
2006-11-03,2.9554
2006-11-06,2.9566
2006-11-07,2.9577
2006-11-08,2.9597
2006-11-09,2.9622
2006-11-10,2.9652
2006-11-13,2.9702
2006-11-14,2.9772
2006-11-15,2.9809
2006-11-16,2.9831
2006-11-17,2.9848
2006-11-20,2.986
2006-11-21,2.9912
2006-11-22,2.9939
2006-11-23,2.9955
2006-11-24,2.9968
2006-11-27,2.9976
2006-11-28,2.9984
2006-11-29,2.9992
2006-11-30,2.9996
2006-12-01,2.9998
2006-12-04,3.0001
2006-12-05,3.0006
2006-12-06,3.0008
2006-12-07,3.0008
2006-12-08,3.001
2006-12-11,3.0012
2006-12-12,3.0013
2006-12-13,3.0013
2006-12-14,3.0014
2006-12-15,3.0015
2006-12-18,3.0016
2006-12-19,3.0017
2006-12-20,3.0017
2006-12-21,3.0018
2006-12-22,3.0019
2006-12-25,3.0019
2006-12-26,3.002
2006-12-27,3.002
2006-12-28,3.002
2006-12-29,3.002
2006-12-30,3.0021
2006-12-31,3.0021
2007-01-04,3.0022
2007-01-05,3.0023
2007-01-08,3.0023
2007-01-09,3.0024
2007-01-10,3.0025
2007-01-11,3.0024
2007-01-12,3.0024
2007-01-15,3.0024
2007-01-16,3.0024
2007-01-17,3.0024
2007-01-18,3.0024
2007-01-19,3.0024
2007-01-22,3.0024
2007-01-23,3.0024
2007-01-24,3.0024
2007-01-25,3.0025
2007-01-26,3.0025
2007-01-29,3.0025
2007-01-30,3.0025
2007-01-31,3.0025
2007-02-01,3.0025
2007-02-02,3.0025
2007-02-05,3.0025
2007-02-06,3.0025
2007-02-07,3.0025
2007-02-08,3.0025
2007-02-09,3.0025
2007-02-12,3.0026
2007-02-13,3.0026
2007-02-14,3.0027
2007-02-15,3.0027
2007-02-16,3.0027
2007-02-17,3.0027
2007-02-25,3.0028
2007-02-26,3.0028
2007-02-27,3.0028
2007-02-28,3.0028
2007-03-01,3.0028
2007-03-02,3.0028
2007-03-05,3.0028
2007-03-06,3.0028
2007-03-07,3.0028
2007-03-08,3.0028
2007-03-09,3.0028
2007-03-12,3.0028
2007-03-13,3.0151
2007-03-14,3.0302
2007-03-15,3.0455
2007-03-16,3.0533
2007-03-19,3.079
2007-03-20,3.0967
2007-03-21,3.1096
2007-03-22,3.1202
2007-03-23,3.1304
2007-03-26,3.1386
2007-03-27,3.1504
2007-03-28,3.1589
2007-03-29,3.1665
2007-03-30,3.1783
2007-04-02,3.1841
2007-04-03,3.188
2007-04-04,3.19
2007-04-05,3.1907
2007-04-06,3.1943
2007-04-09,3.1973
2007-04-10,3.2003
2007-04-11,3.2032
2007-04-12,3.2051
2007-04-13,3.2054
2007-04-16,3.2071
2007-04-17,3.2091
2007-04-18,3.2097
2007-04-19,3.2128
2007-04-20,3.2163
2007-04-23,3.219
2007-04-24,3.2213
2007-04-25,3.2232
2007-04-26,3.2225
2007-04-27,3.2216
2007-04-28,3.218
2007-04-29,3.2157
2007-04-30,3.2147
2007-05-08,3.2142
2007-05-09,3.2137
2007-05-10,3.2152
2007-05-11,3.2172
2007-05-14,3.2186
2007-05-15,3.2193
2007-05-16,3.223
2007-05-17,3.222
2007-05-18,3.2215
2007-05-21,3.2614
2007-05-22,3.3003
2007-05-23,3.3322
2007-05-24,3.3608
2007-05-25,3.3722
2007-05-28,3.3848
2007-05-29,3.3914
2007-05-30,3.3954
2007-05-31,3.3985
2007-06-01,3.3993
2007-06-04,3.3999
2007-06-05,3.4028
2007-06-06,3.4043
2007-06-07,3.4073
2007-06-08,3.4088
2007-06-11,3.4098
2007-06-12,3.4112
2007-06-13,3.4139
2007-06-14,3.4167
2007-06-15,3.4202
2007-06-18,3.4202
2007-06-19,3.4203
2007-06-20,3.4214
2007-06-21,3.4246
2007-06-22,3.4286
2007-06-25,3.4307
2007-06-26,3.434
2007-06-27,3.4359
2007-06-28,3.4404
2007-06-29,3.4447
2007-07-02,3.4477
2007-07-03,3.4516
2007-07-04,3.4555
2007-07-05,3.4595
2007-07-06,3.4627
2007-07-09,3.4662
2007-07-10,3.4691
2007-07-11,3.4725
2007-07-12,3.4757
2007-07-13,3.477
2007-07-16,3.4811
2007-07-17,3.483
2007-07-18,3.4852
2007-07-19,3.486
2007-07-20,3.4866
2007-07-23,3.5429
2007-07-24,3.5659
2007-07-25,3.5786
2007-07-26,3.5861
2007-07-27,3.588
2007-07-30,3.5907
2007-07-31,3.5931
2007-08-01,3.597
2007-08-02,3.5992
2007-08-03,3.6011
2007-08-06,3.6013
2007-08-07,3.6009
2007-08-08,3.6038
2007-08-09,3.6026
2007-08-10,3.6016
2007-08-13,3.6023
2007-08-14,3.6032
2007-08-15,3.6045
2007-08-16,3.6052
2007-08-17,3.6057
2007-08-20,3.6069
2007-08-21,3.6061
2007-08-22,3.6741
2007-08-23,3.6955
2007-08-24,3.7078
2007-08-27,3.7188
2007-08-28,3.7278
2007-08-29,3.7371
2007-08-30,3.747
2007-08-31,3.7536
2007-09-03,3.7574
2007-09-04,3.7603
2007-09-05,3.7657
2007-09-06,3.7704
2007-09-07,3.7808
2007-09-10,3.7883
2007-09-11,3.7919
2007-09-12,3.7969
2007-09-13,3.8019
2007-09-14,3.813
2007-09-17,3.889
2007-09-18,3.9285
2007-09-19,3.9549
2007-09-20,3.975
2007-09-21,3.9909
2007-09-24,4.0109
2007-09-25,4.0255
2007-09-26,4.036
2007-09-27,4.0465
2007-09-28,4.0519
2007-09-29,4.0552
2007-09-30,4.0554
2007-10-08,4.0581
2007-10-09,4.0693
2007-10-10,4.0974
2007-10-11,4.1042
2007-10-12,4.1175
2007-10-15,4.1284
2007-10-16,4.1348
2007-10-17,4.1421
2007-10-18,4.1486
2007-10-19,4.1545
2007-10-22,4.1614
2007-10-23,4.1718
2007-10-24,4.1729
2007-10-25,4.1798
2007-10-26,4.1833
2007-10-29,4.1857
2007-10-30,4.1956
2007-10-31,4.2048
2007-11-01,4.2187
2007-11-02,4.2271
2007-11-05,4.2294
2007-11-06,4.2362
2007-11-07,4.2602
2007-11-08,4.2763
2007-11-09,4.3023
2007-11-12,4.313
2007-11-13,4.3231
2007-11-14,4.3359
2007-11-15,4.3507
2007-11-16,4.3642
2007-11-19,4.3703
2007-11-20,4.3838
2007-11-21,4.3975
2007-11-22,4.4068
2007-11-23,4.4178
2007-11-26,4.4214
2007-11-27,4.4247
2007-11-28,4.4332
2007-11-29,4.4421
2007-11-30,4.4505
2007-12-03,4.4522
2007-12-04,4.4654
2007-12-05,4.4636
2007-12-06,4.4654
2007-12-07,4.4697
2007-12-10,4.4733
2007-12-11,4.4772
2007-12-12,4.4804
2007-12-13,4.4851
2007-12-14,4.4884
2007-12-17,4.4927
2007-12-18,4.4965
2007-12-19,4.5019
2007-12-20,4.5087
2007-12-21,4.5321
2007-12-24,4.5501
2007-12-25,4.5582
2007-12-26,4.5629
2007-12-27,4.5697
2007-12-28,4.5751
2007-12-29,4.5825
2008-01-02,4.5853
2008-01-03,4.5884
2008-01-04,4.5905
2008-01-07,4.593
2008-01-08,4.5989
2008-01-09,4.6057
2008-01-10,4.611
2008-01-11,4.6166
2008-01-14,4.6208
2008-01-15,4.6252
2008-01-16,4.6287
2008-01-17,4.6322
2008-01-18,4.635
2008-01-21,4.637
2008-01-22,4.6414
2008-01-23,4.6461
2008-01-24,4.6491
2008-01-25,4.6508
2008-01-28,4.6517
2008-01-29,4.6546
2008-01-30,4.6569
2008-01-31,4.66
2008-02-01,4.6615
2008-02-02,4.6621
2008-02-03,4.6629
2008-02-04,4.6646
2008-02-05,4.6639
2008-02-13,4.6656
2008-02-14,4.6664
2008-02-15,4.6684
2008-02-18,4.6684
2008-02-19,4.6705
2008-02-20,4.6781
2008-02-21,4.6802
2008-02-22,4.6841
2008-02-25,4.6874
2008-02-26,4.6896
2008-02-27,4.6914
2008-02-28,4.6937
2008-02-29,4.6953
2008-03-03,4.696
2008-03-04,4.6966
2008-03-05,4.6977
2008-03-06,4.6989
2008-03-07,4.6998
2008-03-10,4.7014
2008-03-11,4.7035
2008-03-12,4.7054
2008-03-13,4.7066
2008-03-14,4.7079
2008-03-17,4.7086
2008-03-18,4.7087
2008-03-19,4.7086
2008-03-20,4.7057
2008-03-21,4.7065
2008-03-24,4.7051
2008-03-25,4.7041
2008-03-26,4.7006
2008-03-27,4.6998
2008-03-28,4.7002
2008-03-31,4.7014
2008-04-01,4.7034
2008-04-02,4.7038
2008-04-03,4.7032
2008-04-07,4.7033
2008-04-08,4.704
2008-04-09,4.7046
2008-04-10,4.7051
2008-04-11,4.7042
2008-04-14,4.7022
2008-04-15,4.7031
2008-04-16,4.7034
2008-04-17,4.7029
2008-04-18,4.7033
2008-04-21,4.7028
2008-04-22,4.7025
2008-04-23,4.7024
2008-04-24,4.7025
2008-04-25,4.7025
2008-04-28,4.7028
2008-04-29,4.703
2008-04-30,4.7027
2008-05-04,4.7018
2008-05-05,4.7023
2008-05-06,4.7024
2008-05-07,4.7042
2008-05-08,4.7041
2008-05-09,4.7047
2008-05-12,4.7055
2008-05-13,4.7056
2008-05-14,4.7063
2008-05-15,4.7062
2008-05-16,4.7048
2008-05-19,4.7062
2008-05-20,4.7068
2008-05-21,4.708
2008-05-22,4.7098
2008-05-23,4.7111
2008-05-26,4.7097
2008-05-27,4.7112
2008-05-28,4.7114
2008-05-29,4.7103
2008-05-30,4.7097
2008-06-02,4.71
2008-06-03,4.7086
2008-06-04,4.7095
2008-06-05,4.7086
2008-06-06,4.7095
2008-06-10,4.7102
2008-06-11,4.7132
2008-06-12,4.7145
2008-06-13,4.7161
2008-06-16,4.716
2008-06-17,4.7146
2008-06-18,4.714
2008-06-19,4.7133
2008-06-20,4.7122
2008-06-23,4.7123
2008-06-24,4.7114
2008-06-25,4.711
2008-06-26,4.711
2008-06-27,4.7115
2008-06-30,4.7124
2008-07-01,4.7126
2008-07-02,4.7136
2008-07-03,4.713
2008-07-04,4.7126
2008-07-07,4.7135
2008-07-08,4.7133
2008-07-09,4.7117
2008-07-10,4.7106
2008-07-11,4.7097
2008-07-14,4.7092
2008-07-15,4.7085
2008-07-16,4.7077
2008-07-17,4.7069
2008-07-18,4.7071
2008-07-21,4.7067
2008-07-22,4.7062
2008-07-23,4.7058
2008-07-24,4.7058
2008-07-25,4.7056
2008-07-28,4.7061
2008-07-29,4.7065
2008-07-30,4.7063
2008-07-31,4.707
2008-08-01,4.7073
2008-08-04,4.7077
2008-08-05,4.7077
2008-08-06,4.7074
2008-08-07,4.7072
2008-08-08,4.7066
2008-08-11,4.7065
2008-08-12,4.7064
2008-08-13,4.7065
2008-08-14,4.7059
2008-08-15,4.7056
2008-08-18,4.7051
2008-08-19,4.7054
2008-08-20,4.705
2008-08-21,4.7052
2008-08-22,4.7058
2008-08-25,4.7049
2008-08-26,4.7045
2008-08-27,4.7037
2008-08-28,4.7036
2008-08-29,4.7036
2008-09-01,4.704
2008-09-02,4.7041
2008-09-03,4.7048
2008-09-04,4.7038
2008-09-05,4.7035
2008-09-08,4.7043
2008-09-09,4.7031
2008-09-10,4.703
2008-09-11,4.7026
2008-09-12,4.7025
2008-09-16,4.6928
2008-09-17,4.6847
2008-09-18,4.6852
2008-09-19,4.6801
2008-09-22,4.6792
2008-09-23,4.6772
2008-09-24,4.6757
2008-09-25,4.6748
2008-09-26,4.6742
2008-09-27,4.6726
2008-09-28,4.672
