date,bond,fid,pl,fp
2002-01-04,3.2096,0.0,0.0,0.0
2002-01-07,3.2003,0.0,0.0,0.0
2002-01-08,3.5225,0.0,0.0,0.0
2002-01-09,3.5896,0.0,0.0,0.0
2002-01-10,3.5784,0.0,0.0,0.0
2002-01-11,3.4532,0.0,0.0,0.0
2002-01-14,3.5114,0.0,0.0,0.0
2002-01-15,3.5023,0.0,0.0,0.0
2002-01-16,3.4414,0.0,0.0,0.0
2002-01-17,3.4511,0.0,0.0,0.0
2002-01-18,3.2968,0.0,0.0,0.0
2002-01-21,3.2563,0.0,0.0,0.0
2002-01-22,3.3182,0.0,0.0,0.0
2002-01-23,3.1897,0.0,0.0,0.0
2002-01-24,3.2581,0.0,0.0,0.0
2002-01-25,3.0795,0.0,0.0,0.0
2002-01-28,3.1584,0.0,0.0,0.0
2002-01-29,3.81,0.0,0.0,0.0
2002-01-30,3.2152,0.0,0.0,0.0
2002-01-31,3.2186,0.0,0.0,0.0
2002-02-01,3.2016,0.0,0.0,0.0
2002-02-04,3.218,0.0,0.0,0.0
2002-02-05,3.1893,0.0,0.0,0.0
2002-02-06,3.1897,0.0,0.0,0.0
2002-02-07,3.2491,0.0,0.0,0.0
2002-02-08,3.2085,0.0,0.0,0.0
2002-02-09,3.1948,0.0,0.0,0.0
2002-02-10,3.2084,0.0,0.0,0.0
2002-02-11,3.2173,0.0,0.0,0.0
2002-02-19,3.1679,0.0,0.0,0.0
2002-02-20,3.1647,0.0,0.0,0.0
2002-02-21,3.1583,0.0,0.0,0.0
2002-02-22,3.2237,0.0,0.0,0.0
2002-02-25,3.1616,0.0,0.0,0.0
2002-02-26,3.1512,0.0,0.0,0.0
2002-02-27,3.1481,0.0,0.0,0.0
2002-02-28,3.1315,0.0,0.0,0.0
2002-03-01,3.1155,0.0,0.0,0.0
2002-03-04,3.0828,0.0,0.0,0.0
2002-03-05,3.085,0.0,0.0,0.0
2002-03-06,3.0864,0.0,0.0,0.0
2002-03-07,3.084,0.0,0.0,0.0
2002-03-08,3.0656,0.0,0.0,0.0
2002-03-11,3.073,0.0,0.0,0.0
2002-03-12,3.0044,0.0,0.0,0.0
2002-03-13,2.9872,0.0,0.0,0.0
2002-03-14,2.9798,0.0,0.0,0.0
2002-03-15,3.0188,0.0,0.0,0.0
2002-03-18,3.0232,0.0,0.0,0.0
2002-03-19,2.9442,0.0,0.0,0.0
