date,rr
1985/1/31,10.00 
1985/2/28,10.00 
1985/3/31,10.00 
1985/4/30,10.00 
1985/5/31,10.00 
1985/6/30,10.00 
1985/7/31,10.00 
1985/8/31,10.00 
1985/9/30,10.00 
1985/10/31,10.00 
1985/11/30,10.00 
1985/12/31,10.00 
1986/1/31,10.00 
1986/2/28,10.00 
1986/3/31,10.00 
1986/4/30,10.00 
1986/5/31,10.00 
1986/6/30,10.00 
1986/7/31,10.00 
1986/8/31,10.00 
1986/9/30,10.00 
1986/10/31,10.00 
1986/11/30,10.00 
1986/12/31,10.00 
1987/1/31,12.00 
1987/2/28,12.00 
1987/3/31,12.00 
1987/4/30,12.00 
1987/5/31,12.00 
1987/6/30,12.00 
1987/7/31,12.00 
1987/8/31,12.00 
1987/9/30,12.00 
1987/10/31,12.00 
1987/11/30,12.00 
1987/12/31,12.00 
1988/1/31,13.00 
1988/2/29,13.00 
1988/3/31,13.00 
1988/4/30,13.00 
1988/5/31,13.00 
1988/6/30,13.00 
1988/7/31,13.00 
1988/8/31,13.00 
1988/9/30,13.00 
1988/10/31,13.00 
1988/11/30,13.00 
1988/12/31,13.00 
1989/1/31,13.00 
1989/2/28,13.00 
1989/3/31,13.00 
1989/4/30,13.00 
1989/5/31,13.00 
1989/6/30,13.00 
1989/7/31,13.00 
1989/8/31,13.00 
1989/9/30,13.00 
1989/10/31,13.00 
1989/11/30,13.00 
1989/12/31,13.00 
1990/1/31,13.00 
1990/2/28,13.00 
1990/3/31,13.00 
1990/4/30,13.00 
1990/5/31,13.00 
1990/6/30,13.00 
1990/7/31,13.00 
1990/8/31,13.00 
1990/9/30,13.00 
1990/10/31,13.00 
1990/11/30,13.00 
1990/12/31,13.00 
1991/1/31,13.00 
1991/2/28,13.00 
1991/3/31,13.00 
1991/4/30,13.00 
1991/5/31,13.00 
1991/6/30,13.00 
1991/7/31,13.00 
1991/8/31,13.00 
1991/9/30,13.00 
1991/10/31,13.00 
1991/11/30,13.00 
1991/12/31,13.00 
1992/1/31,13.00 
1992/2/29,13.00 
1992/3/31,13.00 
1992/4/30,13.00 
1992/5/31,13.00 
1992/6/30,13.00 
1992/7/31,13.00 
1992/8/31,13.00 
1992/9/30,13.00 
1992/10/31,13.00 
1992/11/30,13.00 
1992/12/31,13.00 
1993/1/31,13.00 
1993/2/28,13.00 
1993/3/31,13.00 
1993/4/30,13.00 
1993/5/31,13.00 
1993/6/30,13.00 
1993/7/31,13.00 
1993/8/31,13.00 
1993/9/30,13.00 
1993/10/31,13.00 
1993/11/30,13.00 
