date,tdr1
1949/8/10,252.00 
1950/4/10,156.00 
1950/10/20,34.80 
1951/12/1,31.20 
1952/9/15,14.40 
1958/10/1,7.92 
1959/1/1,4.80 
1959/7/1,6.12 
1965/6/1,3.96 
1971/10/1,3.24 
1979/4/1,3.96 
1980/4/1,5.76 
1982/4/1,6.84 
1985/8/1,7.20 
1988/9/1,8.64 
1989/2/1,11.34 
1990/4/15,10.08 
1990/8/21,8.64 
1991/4/21,7.56 
1993/5/15,9.18 
1993/7/11,10.98 
1996/5/1,9.18 
1996/8/23,7.47 
1997/10/23,5.67 
1998/3/25,5.22 
1998/7/1,4.77 
1998/12/7,3.78 
1999/6/10,2.25 
2002/2/21,1.98 
2004/10/29,2.25 
2006/8/19,2.52 
2007/3/18,2.79 
2007/5/19,3.06 
2007/7/21,3.33 
2007/8/22,3.60 
2007/9/15,3.87 
2007/12/21,4.14 
2008/10/9,3.87 
2008/10/30,3.60 
2008/11/27,2.52 
2008/12/23,2.25 
2010/10/20,2.50 
2010/12/26,2.75 
2011/2/9,3.00 
2011/4/6,3.25 
2011/7/7,3.50 
2012/6/8,3.25 
2012/7/6,3.00 
2014/11/22,2.75 
2015/3/1,2.50 
2015/5/11,2.25 
2015/6/28,2.00 
2015/8/26,1.75 
2015/10/24,1.50 
